word,high,low
middle,3,3
beats,3,3
discover,3,3
replacements,3,3
materials,3,3
mascara,3,3
mustard,3,3
marked,3,3
pleasing,3,3
giant,3,3
random,3,3
treated,3,3
confidence,3,3
begins,3,3
bummed,3,3
producing,3,3
indicating,3,3
thicker,3,3
tree,3,3
trip,3,3
spreads,3,3
rubbed,3,3
affects,3,3
warming,3,3
eggs,3,3
drastic,3,3
already,3,3
cats,3,3
operate,3,3
angle,3,3
reviewed,3,3
wished,3,3
filmy,3,3
tuna,3,3
exciting,2,3
picture,2,3
freshness,2,3
creating,2,3
hours,2,3
treatment,2,3
chipped,2,3
stinging,2,3
bake,2,3
13,2,3
treat,2,3
foundation,2,3
themes,2,3
packet,2,3
shampooing,2,3
desperately,2,3
weighing,2,3
bleaching,2,3
moist,2,3
driving,2,3
horror,2,3
hung,2,3
blowing,2,3
which,2,3
sufficient,2,3
inexpensive,2,3
batteries,2,3
freeze,2,3
clever,2,3
decision,2,3
changed,2,3
frustrating,2,3
squeaking,2,3
ridiculously,2,3
factory,2,3
edges,2,3
garments,2,3
automatic,2,3
secure,2,3
caramel,2,3
removers,2,3
melt,2,3
ratio,2,3
presentation,2,3
squeaks,2,3
tossed,2,3
firmly,2,3
bubble,2,3
acne,2,3
lotion,2,3
hence,2,3
scrubbing,2,3
squeezing,2,3
asthma,2,3
hint,2,3
avid,2,3
lover,2,3
defective,2,3
away,2,3
pimple,2,3
repairing,2,3
